AGE,SEXE,NB_POLICE,FORMATION,STATUT_MARITAL,LOISIR,EMPLOI,V_MARQUE,V_ANNEE,S_HEURE,NB_VEH_IMPLIQUE,NB_BLESSE,NB_TEMOIN,TYPE_SINISTRE,TYPE_COLLISION,SEV_SINISTRE,AUTORITE,DOMMAGE_MATERIEL,PROCES_VERB,FRAUDE
43,F,6,Professionel,Divorcé,saut-élastique,commercant,Fiat,2020,8,2,1,2,Stationnement,Collision arrière,Dommage mineur,Police,OUI,N,O
91,M,2,Baccalauréat,Célibataire,basketball,ingénieur,Chevrolet,2015,5,2,1,3,Vol,Collision frontale,Bris,Pompier,OUI,O,N
92,F,9,Professionel,Divorcé,golf,agriculteur,Chevrolet,2020,2,2,0,0,Stationnement,Collision arrière,Dommage mineur,Pompier,OUI,N,O
45,M,5,Baccalauréat,Célibataire,jeu-échecs,artisant,Chevrolet,2015,22,2,0,1,Collision multiple,Collision coté,Perte totale,Pompier,OUI,N,N
70,M,2,3ème cycle,Veuve,danse,artisant,Chevrolet,2021,19,2,0,2,Collision isolée,Collision coté,Dommage majeur,Pompier,?,O,N
95,M,7,Aucun,Célibataire,jeux-vidéo,commercant,Chevrolet,2016,16,2,0,2,Vol,?,Bris,Autre,?,N,O
25,M,4,Primaire,Veuve,camping,agriculteur,BMW,2022,13,1,0,3,Vol,Collision frontale,Dommage mineur,Autre,?,O,N
50,M,1,Aucun,Marié,cross-fit,sans-emploi,BMW,2017,10,1,0,0,Stationnement,Collision arrière,Dommage mineur,Autre,?,N,N
98,M,6,Secondaire,Marié,marche,artisant,Renault,2020,21,3,2,3,Vol,Collision frontale,Dommage mineur,Police,NON,O,N
28,F,3,Professionel,Divorcé,kayak,commercant,Renault,2015,18,3,1,0,Stationnement,Collision arrière,Dommage mineur,Police,NON,N,O
53,F,9,Secondaire,Concubinage,exercise,agriculteur,Renault,2020,14,3,1,1,Collision multiple,Collision coté,Perte totale,Police,NON,O,N
77,F,6,Professionel,Divorcé,saut-élastique,agriculteur,Chevrolet,1999,11,3,1,0,Collision isolée,Collision coté,Dommage majeur,Police,NON,N,N
102,F,3,3ème cycle,Concubinage,chasse,sans-emploi,Suburu,1999,8,3,1,3,Vol,?,Bris,Police,OUI,N,O
75,M,8,Baccalauréat,Célibataire,jeux-vidéo,chauffeur,Ford,2015,12,1,0,3,Vol,Collision frontale,Bris,Police,?,O,N
69,M,4,Primaire,Veuve,camping,agriculteur,Suburu,2005,19,2,0,1,Collision isolée,Collision coté,Dommage majeur,Aucun,?,O,N
